Track,Album Name,Artist,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,year,month
Linger - SiriusXM Session,SiriusXM Session,Royel Otis,FRX872443806,1171,43.9,8053814.0,908.0,11708987.0,69.0,,,"74,700","46,235,180","345,797,900",,16.0,,1.0,"120,583",61.0,"207,576",91,,0,2024,5
SLOW DANCING IN THE DARK,SLOW DANCING IN THE DARK,Joji,ZZOPM1800452,1167,43.9,1291244134.0,241882.0,48328259.0,29.0,576756813.0,6989481.0,"976,742","252,216,973","1,853,292,133","140,688,974",39.0,1059.0,6.0,"14,150",3.0,"18,782,933","75,869",1785813.0,1,2018,9
BIPOLAR,BIPOLAR,Peso Pluma,QMBZ92388584,1169,43.9,222295526.0,18049.0,13695569.0,,110937613.0,675774.0,"26,622","6,784","83,048","164,839,813",9.0,1235.0,6.0,"1,331,099",10.0,"7,908,175","3,651",872796.0,1,2023,9
Addicted,Addicted (feat. Ink) - Single,Zerb,NLRD52350359,1170,43.9,63142772.0,7213.0,65806267.0,79.0,320436.0,6638.0,"7,812","3,088,170","63,352,002",,23.0,22016.0,18.0,"586,251",44.0,"4,517,869",457,512040.0,1,2024,3
Besos Moja2,Besos Moja2,Wisin & Yandel,USSD12200829,1176,43.8,416361102.0,48450.0,23910344.0,69.0,251373932.0,911711.0,"460,773","158,067,701","1,931,498,021","6,946,855",42.0,35473.0,25.0,"555,110",47.0,"9,511,526",888,739386.0,0,2022,9
Wake Up in the Sky,Wake Up in the Sky,Gucci Mane,USAT21811087,1173,43.8,996942947.0,188378.0,27325666.0,71.0,614755305.0,5707814.0,"517,615","50,143,641","424,030,507","52,825,959",40.0,63944.0,31.0,"108,234",17.0,"165,992,311","128,939",6648622.0,1,2018,9
Chanel,Chanel,Becky G,USRC12300804,1175,43.8,287853890.0,21244.0,8675975.0,65.0,267142398.0,1552179.0,"98,312","44,289,816","550,080,768","411,799,517",31.0,1280.0,12.0,"378,233",20.0,"32,344,279","4,466",546765.0,0,2023,3
Otro Trago,Sueï¿½ï,Sech,QM9WM1900120,1172,43.8,693061510.0,73605.0,21529712.0,63.0,1315371330.0,9042596.0,"263,379","6,844,512","81,046,643","278,722,746",56.0,11331.0,9.0,"344,693",38.0,"80,895,090","47,467",3179632.0,1,2019,4
Back In Blood (feat. Lil Durk),Back In Blood (feat. Lil Durk),Pooh Shiesty,USAT22007048,1180,43.7,378239461.0,126894.0,19992900.0,62.0,477876565.0,3072709.0,"95,993","30,522,237","230,352,883","232,331,604",72.0,96321.0,4.0,"56,079",17.0,"82,609,483","36,243",1280704.0,1,2020,11
Jugaste y Sufrï¿,Corta Venas,Eslabon Armado,USE7D2000268,1182,43.7,492509763.0,83013.0,10228918.0,70.0,420395103.0,3706590.0,"144,000","92,852,948","624,633,508","3,613,322",17.0,244.0,2.0,156,13.0,"21,099,906","32,737",2849462.0,0,2020,12
